Unified_url,Reachable_URL,Time_stamp_if_exist,Way_back_archived,Freenom_top_level_domain,Previous_malicious_top_level_domain_TLD,Name_length,Wrong_spell_List,word_dic,Special_mark,sub_domain,Contain_IP_Adress,levenshtein_distance,Alexa_rank,Status_code
http://cbsrealitychase.com,1,0,0,0,0,5,0,0.08333333333333333,0,1,0,17.34771573604061,0,200
http://cdestudiantes.com,1,20190815213739,1,0,0,4,0,0.09090909090909091,0,1,0,16.705583756345177,0,200
http://cecollc.com,1,20190928074051,1,0,0,5,0,0.125,0,1,0,15.67005076142132,0,200
http://chase-covid19s.com,1,0,0,0,0,7,0,0.08695652173913043,1,1,0,15.654822335025381,0,200
http://chase7-covid.com,1,0,0,0,0,6,0,0.09523809523809523,1,1,0,15.104060913705585,0,200
http://chasecovid19s.com,1,0,0,0,0,7,0,0.09090909090909091,0,1,0,15.403553299492385,0,200
http://chasecovid19t.com,1,0,0,0,0,7,0,0.09090909090909091,0,1,0,15.49492385786802,0,200
http://chasecovid19v.com,1,0,0,0,0,7,0,0.09090909090909091,0,1,0,15.591370558375635,0,200
http://cherrydancefitness.co.uk,1,20190206094535,1,0,0,6,0,0.06896551724137931,0,2,0,20.70812182741117,0,200
http://childcarecorona.com,1,20200526090552,1,0,0,4,0,0.08333333333333333,0,1,0,16.890862944162436,0,200
http://chirurgiehmrcovid.com,1,0,0,0,0,8,0,0.07692307692307693,0,1,0,17.626903553299492,0,200
http://cinenagari.com,1,20180916190136,1,0,0,5,0,0.10526315789473684,0,1,0,15.586294416243655,0,200
http://click.cocovid.co,1,0,0,0,0,5,0,0.09523809523809523,0,2,0,16.263959390862944,0,200
http://cmattayers.com,1,20141217014426,1,0,0,5,0,0.10526315789473684,0,1,0,15.949238578680204,0,200
http://cocovid.co,1,0,0,0,0,4,0,0.13333333333333333,0,1,0,14.753807106598984,0,200
http://combatecovid.org,1,20200510013353,1,0,0,5,0,0.09523809523809523,0,1,0,16.373096446700508,2377587,200
http://computecovid.com,1,0,0,0,0,5,0,0.09523809523809523,0,1,0,15.043147208121827,0,200
http://copingwithcovid.blog,1,0,0,0,0,6,0,0.08,0,1,0,18.0,0,200
http://corona-live.net,1,0,0,0,0,4,0,0.1,1,1,0,16.84517766497462,4148920,200
http://corona-masr2.com,1,0,0,0,0,6,0,0.09523809523809523,1,1,0,15.718274111675127,0,200
http://corona-masr21.com,1,0,0,0,0,6,0,0.09090909090909091,1,1,0,16.038071065989847,0,200
http://corona-masr3.com,1,0,0,0,0,6,0,0.09523809523809523,1,1,0,15.718274111675127,0,200
http://corona-nearby.com,1,20200506082102,1,0,0,4,0,0.09090909090909091,1,1,0,15.97969543147208,980612,200
http://corona-virus-anonymous.org,1,0,0,0,0,5,0,0.06451612903225806,1,1,0,22.0,0,200
http://corona-virusus.com,1,0,0,0,0,5,0,0.08695652173913043,1,1,0,16.022842639593907,0,200
http://corona19covid.000webhostapp.com,1,0,0,0,0,10,0,0.05555555555555555,0,2,0,23.497461928934012,4206,200
http://coronabye.com,1,0,0,0,0,4,0,0.1111111111111111,0,1,0,15.083756345177665,0,200
http://coronadocruisers.com,1,20180806054357,1,0,0,4,0,0.08,0,1,0,16.736040609137056,0,200
http://coronaent.com.hk,1,20170920050902,1,0,1,5,0,0.09523809523809523,0,2,0,16.794416243654823,0,200
http://coronaextra.com.au,1,20200520184000,1,0,0,5,0,0.08695652173913043,0,2,0,17.3248730964467,1941182,200
http://coronaflexx.000webhostapp.com,1,0,0,0,0,9,0,0.058823529411764705,0,2,0,23.380710659898476,4206,200
http://coronagame1.co.vu,1,0,0,0,0,6,0,0.09090909090909091,0,2,0,17.027918781725887,45676,200
